County,Office,Candidate,Party,District,Votes
,State Senator,Kimberly M Schofield,Democratic,37,15938
,State Senator,La Keisha Jackson,Democratic,34,36165
,State Senator,Leon P Smith,Democratic,08,16782
,State Senator,Leslie Nuss Bamesberger,Democratic,05,22419
,State Senator,Lonnie M. Randolph,Democratic,02,27981
,State Senator,Mark Spencer,Democratic,03,33401
,State Senator,Shelli Yoder,Democratic,40,38424
,State Senator,Suzanne Fortenberry,Democratic,36,18203
,State Senator,Veronica J Pejril,Democratic,24,21185
,State Senator,John Woodard,Independent,50,10367
,State Senator,Tim Cotton,Libertarian,10,8686
,State Senator,Travis E. Chittum,Libertarian,28,12638
,State Senator,Aaron Freeman,Republican,32,34243
,State Senator,Blake Doriot,Republican,12,33582
,State Senator,Brett Clark,Republican,24,40337
,State Senator,Brian W. Buchanan,Republican,07,49168
,State Senator,C. Susan Glick,Republican,13,41096
,State Senator,Cynthia (Cyndi) Carrasco,Republican,36,30274
,State Senator,Ed Charbonneau,Republican,05,43489
,State Senator,Eric A. Koch,Republican,44,48749
,State Senator,Humberto Prado,Republican,02,14635
,State Senator,Jean Leising,Republican,42,52778
,State Senator,Justin Busch,Republican,16,45442
,State Senator,Michael Crider,Republican,28,44687
,State Senator,Mike Bohacek,Republican,08,42545
,State Senator,R. Michael Young,Republican,35,24689
,State Senator,Rodric D. Bray,Republican,37,50188
,State Senator,Ryan Mishler,Republican,09,42276
,State Senator,Scott A. Baldwin,Republican,20,43886
,State Senator,Stacey A. Donato,Republican,18,45901
,State Senator,Vaneta Becker,Republican,50,43371
,State Senator,Will Miller,Republican,03,12279
,State Representative,Abby Norden,Democratic,81,11332
,State Representative,Alex Burton,Democratic,77,14395
,State Representative,Andrew Locke,Democratic,91,9101
,State Representative,Blake Johnson,Democratic,100,16667
,State Representative,Bob Compton,Democratic,74,9944
,State Representative,Carey Hamilton,Democratic,87,25517
,State Representative,Carl A. Seese,Democratic,38,8339
,State Representative,Carolyn B Jackson,Democratic,01,13932
,State Representative,Charles (Chuck) Moseley,Democratic,10,15405
,State Representative,Cherrish S. Pryor,Democratic,94,18772
,State Representative,Chris Campbell,Democratic,26,11508
,State Representative,Christopher Hartig,Democratic,29,13170
,State Representative,Dan Sikes,Democratic,41,7542
,State Representative,Dennis Collins,Democratic,16,6740
,State Representative,Dominique Davie,Democratic,90,11124
,State Representative,Earl Harris Jr.,Democratic,02,14997
,State Representative,Edward (Ed) Moyer Jr.,Democratic,13,8355
,State Representative,Edward O. DeLaney,Democratic,86,28998
,State Representative,Erika Robinson-Watkins,Democratic,04,14800
,State Representative,Gregory W. Porter,Democratic,96,25952
,State Representative,Heidi Beidinger,Democratic,05,14013
,State Representative,Hollie Payton,Democratic,73,6284
,State Representative,Jason Applegate,Democratic,72,14553
,State Representative,Jennifer David,Democratic,66,9926
,State Representative,Joe Swisher,Democratic,50,7136
,State Representative,John (Jack) Walter,Democratic,15,13625
,State Representative,John E Bartlett,Democratic,33,7818
,State Representative,John L. Bartlett,Democratic,95,17901
,State Representative,Josh Lowry,Democratic,24,18237
,State Representative,Judy Rowe,Democratic,51,5764
,State Representative,Justin Moed,Democratic,97,8831
,State Representative,Karen Marie Whitney,Democratic,28,9442
,State Representative,Kurtis J Cummings,Democratic,46,9847
,State Representative,Kyle Miller,Democratic,82,14151
,State Representative,Kyle Thele,Democratic,83,12426
,State Representative,Lisa Barker,Democratic,68,6970
,State Representative,Matt McNally,Democratic,39,18223
,State Representative,Matt Pierce,Democratic,61,17018
,State Representative,Maureen Bauer,Democratic,06,14861
,State Representative,Michael E Potter,Democratic,47,8402
,State Representative,Michael Katcher,Democratic,30,9309
,State Representative,Michelle Higgs,Democratic,60,8274
,State Representative,Mike Andrade,Democratic,12,17940
,State Representative,Mitch Gore,Democratic,89,12948
,State Representative,Nate Anderson,Democratic,53,10281
,State Representative,Patricia A (Pat) Boy,Democratic,09,15149
,State Representative,Phil GiaQuinta,Democratic,80,13519
,State Representative,Phil Goss,Democratic,85,7970
,State Representative,Philip G. (Phil) Gift,Democratic,35,9204
,State Representative,Ragen Hatcher,Democratic,03,14763
,State Representative,Reneé Pack,Democratic,92,13173
,State Representative,Richard (Rick) Rouser,Democratic,23,6469
,State Representative,Robert Pope III,Democratic,40,12478
,State Representative,Robin Shackleford,Democratic,98,14781
,State Representative,Ross Thomas,Democratic,59,9711
,State Representative,Ryan Hughey,Democratic,93,8258
,State Representative,Ryan M. Dvorak,Democratic,08,19461
,State Representative,Sandy James,Democratic,58,9051
,State Representative,Sarah Blessing,Democratic,70,9325
,State Representative,Sheila J. Klinker,Democratic,27,13398
,State Representative,Stephanie Jo Yocum,Democratic,88,16838
,State Representative,Sue Errington,Democratic,34,12156
,State Representative,Teresa Kendall,Democratic,63,6710
,State Representative,Thomas Horrocks,Democratic,62,17586
,State Representative,Thonja M Nicholson,Democratic,36,10623
,State Representative,Tiffany Stoner,Democratic,25,18730
,State Representative,Tonya Pfaff,Democratic,43,16847
,State Representative,Trish Whitcomb,Democratic,69,8410
,State Representative,Vanessa J. Summers,Democratic,99,13661
,State Representative,Vernon G Smith,Democratic,14,17570
,State Representative,Victoria C Martz,Democratic,55,6016
,State Representative,Victoria Garcia Wilburn,Democratic,32,17994
,State Representative,Walt Sorg,Democratic,52,6750
,State Representative,Wendy Dant Chesser,Democratic,71,14413
,State Representative,Charlie Florance,Libertarian,06,3483
,State Representative,Elizabeth (Libby) Glass,Libertarian,98,1817
,State Representative,Gregory T (Greg) Hertzsch,Libertarian,71,1123
,State Representative,Josh Vergiels,Libertarian,22,3332
,State Representative,Mark A Renholzberger,Libertarian,97,429
,State Representative,Melissa D Kauffman,Libertarian,21,3942
,State Representative,Alaina Shonkwiler,Republican,29,22794
,State Representative,Alan Morrison,Republican,42,24611
,State Representative,Alex Zimmerman,Republican,67,25408
,State Representative,Andrew Ireland,Republican,90,19450
,State Representative,Beau Baird,Republican,44,24061
,State Representative,Becky Cash,Republican,25,18794
,State Representative,Ben Ruiz,Republican,02,3290
,State Representative,Ben Smaltz,Republican,52,22279
,State Representative,Bob Heaton,Republican,46,20852
,State Representative,Bob Morris,Republican,84,21927
,State Representative,Bradford Barrett,Republican,56,20218
,State Representative,Bruce Borders,Republican,45,23309
,State Representative,Chris D. May,Republican,65,24786
,State Representative,Chris Jeter,Republican,88,23075
,State Representative,Christopher N. Judy,Republican,83,22111
,State Representative,Cindy Ledbetter,Republican,75,26617
,State Representative,Cory Criswell,Republican,54,24738
,State Representative,Craig Haggard,Republican,57,22413
,State Representative,Craig Snow,Republican,22,21137
,State Representative,Dale DeVon,Republican,05,16835
,State Representative,Daniel (Danny) Lopez,Republican,39,21164
,State Representative,Dave Hall,Republican,62,18395
,State Representative,Dave Heine,Republican,85,23160
,State Representative,David H. Abbott,Republican,18,24250
,State Representative,Doug Miller,Republican,48,18878
,State Representative,Ed Soliday,Republican,04,20111
,State Representative,Edward D. (Ed) Clere,Republican,72,19507
,State Representative,Elizabeth Rowray,Republican,35,22529
,State Representative,Ethan J. Lawson,Republican,53,24454
,State Representative,Ethan Manning,Republican,23,18330
,State Representative,Felipe Rios,Republican,99,3151
,State Representative,Garrett R. Bascom,Republican,68,26983
,State Representative,Gregory E. Steuerwald,Republican,40,17489
,State Representative,Hal Slager,Republican,15,23536
,State Representative,Heath R. VanNatter,Republican,38,25387
,State Representative,Hunter Smith,Republican,24,23364
,State Representative,Ivan Ursery II,Republican,14,6786
,State Representative,Jack Jordan,Republican,17,22867
,State Representative,Jake Teshka,Republican,07,20991
,State Representative,James K. (Jim) Schenke,Republican,26,6450
,State Representative,Jeff Larson,Republican,10,14149
,State Representative,Jeffrey A. Thompson,Republican,28,23989
,State Representative,Jennifer Meltzer,Republican,73,20900
,State Representative,Jim Lietz,Republican,12,14652
,State Representative,Jim Lucas,Republican,69,18438
,State Representative,Jim Pressel,Republican,20,22170
,State Representative,Joanna King,Republican,49,17915
,State Representative,Joel Florek,Republican,09,14555
,State Representative,John (J.D.) Prescott,Republican,33,21160
,State Representative,John L. Couch,Republican,92,9144
,State Representative,Joseph Bortka,Republican,100,6585
,State Representative,Julie A. McGuire,Republican,93,13562
,State Representative,Julie Olthoff,Republican,19,25348
,State Representative,Karen Engleman,Republican,70,25765
,State Representative,Kendell Culp,Republican,16,22500
,State Representative,Kyle Pierce,Republican,36,15310
,State Representative,Leslie A. Dallner,Republican,03,8617
,State Representative,Lindsay Patterson,Republican,55,24820
,State Representative,Lori J. Goss-Reaves,Republican,31,19345
,State Representative,Lorissa Sweet,Republican,50,23785
,State Representative,Mark Genda,Republican,41,20495
,State Representative,Martin Carbaugh,Republican,81,20913
,State Representative,Matt Hostettler,Republican,64,26027
,State Representative,Matthew (Matt) Commons,Republican,13,23437
,State Representative,Matthew S. Lehman,Republican,79,23426
,State Representative,Michael J. Aylesworth,Republican,11,27017
,State Representative,Michelle Davis,Republican,58,18731
,State Representative,Mike Karickhoff,Republican,30,19303
,State Representative,Oscar Alvarez,Republican,27,8383
,State Representative,Patricia Bratton,Republican,32,16542
,State Representative,Peggy Mayfield,Republican,60,25764
,State Representative,Robb Greene,Republican,47,23888
,State Representative,Robert W. Behning,Republican,91,13723
,State Representative,Ryan Lauer,Republican,59,17151
,State Representative,Scott Hawkins,Republican,71,13537
,State Representative,Shane M. Lindauer,Republican,63,21652
,State Representative,Stephen R. Bartels,Republican,74,21681
,State Representative,Stephen Whitmer,Republican,97,5907
,State Representative,Susan Dillon,Republican,34,9910
,State Representative,Tim O'Brien,Republican,78,24110
,State Representative,Timothy Wesco,Republican,21,14904
,State Representative,Todd Huston,Republican,37,24212
,State Representative,Tony Isa,Republican,51,16777
,State Representative,Wendy (Mac) McNamara,Republican,76,25585
,State Representative,Yvonne Metcalfe,Republican,89,10240
,State Representative,Zach Payne,Republican,66,22507
,"Judge, Circuit Court",Andrea Wasson Stemle,Democratic,Clark,23933
,"Judge, Circuit Court",Catherine B. Stafford,Democratic,Monroe,38988
,"Judge, Circuit Court",Christine Talley Haseman,Democratic,Monroe,39620
,"Judge, Circuit Court",Darcie L. Fawcett,Democratic,Monroe,38734
,"Judge, Circuit Court",Dustin T. White,Democratic,Clark,20789
,"Judge, Circuit Court",Kimberly S. Dowling,Democratic,Delaware,19468
,"Judge, Circuit Court",Lucy Goffinet,Democratic,Perry,6034
,"Judge, Circuit Court",Molly E. Briles,Non Partisan,Vanderburgh,27229
,"Judge, Circuit Court",Ryan Hatfield,Non Partisan,Vanderburgh,31378
,"Judge, Circuit Court",Abraham (Abe) Navarro,Republican,Clark,39130
,"Judge, Circuit Court",Alex Dudley,Republican,Franklin,10006
,"Judge, Circuit Court",Andrew Hopper,Republican,Madison,45438
,"Judge, Circuit Court",Andrew J. Ramirez,Republican,Delaware,24691
,"Judge, Circuit Court",Andrew R. Bloch,Republican,Hamilton,131823
,"Judge, Circuit Court",Andy Roesener,Republican,Johnson,57156
,"Judge, Circuit Court",Ashley Hand,Republican,Allen,108863
,"Judge, Circuit Court",Bradley K. Mohler,Republican,Clinton,10152
,"Judge, Circuit Court",Brian D. Hill,Republican,Rush,6329
,"Judge, Circuit Court",Brian David Hutchison,Republican,Jay,6708
,"Judge, Circuit Court",Brian W. Bade,Republican,Blackford,3981
,"Judge, Circuit Court",Chad E. Kukelhan,Republican,Adams,11214
,"Judge, Circuit Court",Chris A. Wrede,Republican,Vermillion,5778
,"Judge, Circuit Court",Craig Goedde,Republican,Posey,10931
,"Judge, Circuit Court",D.J. Mote,Republican,Jefferson,10754
,"Judge, Circuit Court",David L. McCord,Republican,Henry,17808
,"Judge, Circuit Court",David Thomas,Republican,Clay,10101
,"Judge, Circuit Court",Davin Glen Smith,Republican,Huntington,13940
,"Judge, Circuit Court",Donald R. VanDerMoere II,Republican,Owen,7757
,"Judge, Circuit Court",Doug Mawhorr,Republican,Delaware,31879
,"Judge, Circuit Court",Emily Waddle,Republican,Jasper,12574
,"Judge, Circuit Court",Erik (Chip) Allen,Republican,Greene,11981
,"Judge, Circuit Court",Evan C. Biesterveld,Republican,Pike,5101
,"Judge, Circuit Court",Janette E. Surrisi,Republican,Marshall,14907
,"Judge, Circuit Court",Jason A. Thompson,Republican,White,9309
,"Judge, Circuit Court",Jeffrey F. Meade,Republican,Gibson,13122
,"Judge, Circuit Court",Jeremy T. Musser,Republican,Steuben,12856
,"Judge, Circuit Court",Jeryl F. Leach,Republican,Newton,5327
,"Judge, Circuit Court",Julianne K. Havens,Republican,LaPorte,29967
,"Judge, Circuit Court",Kenton W. Kiracofe,Republican,Wells,11940
,"Judge, Circuit Court",Kit C. Dean Crane,Republican,Henry,17790
,"Judge, Circuit Court",Kyle P. Williams,Republican,Clark,29830
,"Judge, Circuit Court",Lisa G. Reger,Republican,Clark,34688
,"Judge, Circuit Court",Lori N. Schein,Republican,Boone,28679
,"Judge, Circuit Court",Mark E. Spitzer,Republican,Grant,19388
,"Judge, Circuit Court",Mary C. Welker,Republican,Pulaski,4526
,"Judge, Circuit Court",Mary Wertz,Republican,Brown,6923
,"Judge, Circuit Court",Matthew George Hanson,Republican,Morgan,27599
,"Judge, Circuit Court",Matthew J. Buehler,Republican,Kosciusko,29152
,"Judge, Circuit Court",Nick Karaffa,Republican,Clark,39808
,"Judge, Circuit Court",R. Scott Sirk,Republican,Hancock,34608
,"Judge, Circuit Court",Richard W. Poynter,Republican,Jackson,16037
,"Judge, Circuit Court",Sean M. Persin,Republican,Tippecanoe,46416
,"Judge, Circuit Court",Shane Michael Evans,Republican,Carroll,8373
,"Judge, Circuit Court",Stephen Roger Kitts II,Republican,Cass,11417
,"Judge, Circuit Court",Timothy B. Day,Republican,Decatur,10071
,"Judge, Circuit Court",Trent Meltzer,Republican,Shelby,15447
,"Judge, Circuit Court",William R. (Bill) Walz IV,Republican,LaGrange,8439
,"Judge, Superior Court",Gloria J. Danielson,Democratic,Johnson,22282
,"Judge, Superior Court",Kenneth E McVey III,Democratic,Vigo,14994
,"Judge, Superior Court",Robbin Trowbridge Benko,Democratic,Porter,35073
,"Judge, Superior Court",Gary James Schutte II,Non Partisan,Vanderburgh,44512
,"Judge, Superior Court",Jillian N. Kratochvil,Non Partisan,Vanderburgh,42596
,"Judge, Superior Court",Mary Margaret (Maggie) Lloyd,Non Partisan,Vanderburgh,46286
,"Judge, Superior Court",Wayne S. Trockman,Non Partisan,Vanderburgh,48467
,"Judge, Superior Court",Andrew M. Hicks,Republican,Elkhart,55397
,"Judge, Superior Court",Blake N. Dahl,Republican,Howard,31236
,"Judge, Superior Court",Brandi Foster Kirkendall,Republican,Johnson,50791
,"Judge, Superior Court",Brett Michael Roy,Republican,Warrick,25246
,"Judge, Superior Court",Crystal A. Brucker Kocher,Republican,Pulaski,4491
,"Judge, Superior Court",Daniel Kelly,Republican,Vigo,24975
,"Judge, Superior Court",David C. Bonfiglio,Republican,Elkhart,55883
,"Judge, Superior Court",Gregory Lee Heller,Republican,Fulton,7598
,"Judge, Superior Court",Hans Pate,Republican,Howard,30823
,"Judge, Superior Court",James D. (Jim) Worton,Republican,Bartholomew,27268
,"Judge, Superior Court",Jeffrey L. Thode,Republican,Porter,49217
,"Judge, Superior Court",Jeffrey Wayne Clymer,Republican,Porter,68292
,"Judge, Superior Court",John M. Plummer III,Republican,Lawrence,16974
,"Judge, Superior Court",Kathryn M. Kuehn,Republican,Hendricks,57110
,"Judge, Superior Court",Kristina Hamby (Krista) Weiberg,Republican,Warrick,24763
,"Judge, Superior Court",Lisa L. Swaim,Republican,Cass,11533
,"Judge, Superior Court",Mark A. Smith,Republican,Hendricks,56692
,"Judge, Superior Court",Michael A. Casati,Republican,Hamilton,131038
,"Judge, Superior Court",Michael A. Morrissey,Republican,Tippecanoe,46509
,"Judge, Superior Court",Nathan D. Meeks,Republican,Grant,19136
,"Judge, Superior Court",Patrick K. Ryan,Republican,Newton,5463
,"Judge, Superior Court",Patrick L. Jessup,Republican,DeKalb,16045
,"Judge, Superior Court",Robert Alex Pell,Republican,Clay,9400
,"Judge, Superior Court",Ronald J. (Ron) Moore,Republican,Wayne,19796
,"Judge, Superior Court",Sally A. McLaughlin,Republican,Dearborn,24203
,"Judge, Superior Court",Stephenie Diana LeMay-Luken,Republican,Hendricks,57703
,"Judge, Superior Court",Stephenie K. Gookins,Republican,Hamilton,131779
,"Judge, Superior Court",Steven Thomas Clouse,Republican,Noble,15037
,"Judge, Superior Court",Tami Napier,Republican,Marshall,15112
,"Judge, Superior Court",Travis Crane,Republican,Hendricks,56362
,"Judge, Probate Court",Jason Cichowicz,Democratic,St. Joseph,49793
,"Judge, Probate Court",Loris Patrick Zappia,Republican,St. Joseph,58560
,Clerk of the Circuit Court,Angela Henzman,Democratic,LaPorte,18270
,Clerk of the Circuit Court,Christine (Chris) Glomb,Democratic,Harrison,5182
,Clerk of the Circuit Court,JACK KENSELL,Democratic,Vigo,15649
,Clerk of the Circuit Court,Stacey Broady Turner,Democratic,Scott,3549
,Clerk of the Circuit Court, Nichole Keller,Republican,Clay,9551
,Clerk of the Circuit Court,Alan Evans,Republican,Pike,4798
,Clerk of the Circuit Court,Amy M Voorhies,Republican,Lawrence,16898
,Clerk of the Circuit Court,Dana E Hedrick,Republican,DeKalb,15547
,Clerk of the Circuit Court,DARRELL (HEAVY) STEPHENS,Republican,Spencer,8446
,Clerk of the Circuit Court,Debbie Dennison,Republican,Harrison,14708
,Clerk of the Circuit Court,Destry R Richey,Republican,Cass,11415
,Clerk of the Circuit Court,DOTTIE THOMAS,Republican,Vanderburgh,53968
,Clerk of the Circuit Court,Elizabeth (Liz) Jones,Republican,Orange,7006
,Clerk of the Circuit Court,Heather Stevens,Republican,LaPorte,25891
,Clerk of the Circuit Court,Jennifer (Jenny) Sammons,Republican,Rush,6198
,Clerk of the Circuit Court,Jessica D Firkins,Republican,Newton,5352
,Clerk of the Circuit Court,Kimberley (Kim) Johnson,Republican,LaGrange,8423
,Clerk of the Circuit Court,Kimberly Pitts,Republican,Blackford,3861
,Clerk of the Circuit Court,Kristie Cate,Republican,Ohio,2485
,Clerk of the Circuit Court,LEANNA MOORE ,Republican,Vigo,23907
,Clerk of the Circuit Court,Liz Baumgartner,Republican,Ripley,12539
,Clerk of the Circuit Court,Marjorie Pike,Republican,Hendricks,57359
,Clerk of the Circuit Court,Melinda (Mindy) Peed,Republican,Randolph,8537
,Clerk of the Circuit Court,Melissa Boggs,Republican,Kosciusko,28566
,Clerk of the Circuit Court,Michelle Shelton,Republican,Scott,6056
,Clerk of the Circuit Court,Mike Wilson,Republican,Warrick,25008
,Clerk of the Circuit Court,Missy Eads Elliott,Republican,Jay,6562
,Clerk of the Circuit Court,Sharon Milburn,Republican,Carroll,8362
,Clerk of the Circuit Court,SONDRA DITTMER SIXBERRY,Republican,Montgomery,13810
,Clerk of the Circuit Court,Stephanie K. Rockey,Republican,Washington,10561
,Clerk of the Circuit Court,Tami Corado Lowry,Republican,Vermillion,5691
,Clerk of the Circuit Court,Tammy Bremer,Republican,Noble,14714
,Clerk of the Circuit Court,Tara Pegg,Republican,Wayne,19656
,Clerk of the Circuit Court,Wendy Beatty,Republican,Dearborn,24121
,County Auditor,Brianne (Bri) Gregory,Democratic,Monroe,38680
,County Auditor,CHERYL A. LOUDERMILK,Democratic,Vigo,18885
,County Auditor,Michelle Norris,Democratic,Martin,2763
,County Auditor,Alicia G Pifer,Republican,Cass,11399
,County Auditor,Ann  Stark,Republican,Hendricks,57513
,County Auditor,Annette Sue Flora Phillippo,Republican,Miami,10966
,County Auditor,Beth Budreau,Republican,Benton,3499
,County Auditor,Christy Smiley,Republican,Decatur,9821
,County Auditor,Debbie M. Morton-Crum ,Republican,Boone,28173
,County Auditor,Diana J. Boersma,Republican,Jasper,12443
,County Auditor,JAMIE M PYLE,Republican,Jackson,15996
,County Auditor,Jessica Secrease,Republican,Howard,31315
,County Auditor,Katherine (Easterday) Adamson,Republican,Fulton,7433
,County Auditor,Kim Johnson,Republican,Fountain,6942
,County Auditor,Kristina (Alexander) Berish,Republican,Putnam,13189
,County Auditor,LARRY T. HUTCHINGS II ,Republican,Vigo,20989
,County Auditor,Martha Arnold Turner,Republican,Lawrence,16995
,County Auditor,Mike Rosenbaum,Republican,LaPorte,32078
,County Auditor,Mike Watkins,Republican,Gibson,13056
,County Auditor,Ron Dunavan,Republican,Vermillion,5435
,County Auditor,Sandy Hill,Republican,Orange,7036
,County Auditor,Sheila K. Reeves,Republican,Owen,7814
,County Auditor,Shelly Baucco,Republican,Wabash,11276
,County Auditor,Tammy Justice,Republican,Rush,6329
,County Auditor,Teresa Lynn Bryant,Republican,Pulaski,4669
,County Auditor,Todd Clevenger,Republican,Hamilton,127909
,County Auditor,Todd Culp,Republican,Madison,45130
,County Auditor,Tony L. Mellencamp,Republican,Adams,11435
,County Recorder,Adam Schneider,Democratic,Harrison,4964
,County Recorder,Dana Turner,Democratic,Blackford,1481
,County Recorder,GINA ROBINSON UNGAR,Democratic,Vanderburgh,28740
,County Recorder,Jenny Beverly,Democratic,Jefferson,4414
,County Recorder,Kristi Richie-Johnson,Democratic,Scott,3192
,County Recorder,Matthew Sikorski,Democratic,LaPorte,19412
,County Recorder,NANCY ALLSUP ,Democratic,Vigo,18947
,County Recorder,Rebecca A. Haley,Democratic,Orange,2062
,County Recorder,REGINA (GINA) PIMENTEL,Democratic,Lake,128443
,County Recorder,SHARON BANICKI,Democratic,St. Joseph,53957
,County Recorder,Theresa E. (Tracy) Schroeder,Democratic,Perry,5631
,County Recorder,Amy Storm Stephens,Republican,Jefferson,8904
,County Recorder,Anna M. Voyles,Republican,Morgan,27428
,County Recorder,CANDACE BROWN,Republican,St. Joseph,54038
,County Recorder,Chris Landis,Republican,Blackford,3338
,County Recorder,Dawn Naylor,Republican,Switzerland,3581
,County Recorder,Deborah S. (Debbie) Ottinger,Republican,Boone,28579
,County Recorder,Debra (Debbie) Strong Biddle,Republican,Tipton,6356
,County Recorder,DIANA WINSTED-SMITH,Republican,Vigo,20842
,County Recorder,Elzbieta (Ela) Bilderback,Republican,LaPorte,25512
,County Recorder,Glenda L. Wallpe,Republican,Benton,3475
,County Recorder,Heather Henderson,Republican,Orange,6251
,County Recorder,Hollie R Maxie,Republican,Franklin,9620
,County Recorder,Jamie L York,Republican,Parke,5481
,County Recorder,Jessica L Allen,Republican,Lawrence,16915
,County Recorder,Kathryn N O'Farrell,Republican,Carroll,8435
,County Recorder,Kathy D Foy,Republican,Grant,19005
,County Recorder,KENSIE COULTAS,Republican,Spencer,8256
,County Recorder,Kialee Mitchell,Republican,Clinton,9716
,County Recorder,Kimberly K. Grow,Republican,Jasper,12414
,County Recorder,Leta Hullinger,Republican,DeKalb,15845
,County Recorder,LOIS NAVILLE ENDRIS,Republican,Floyd,29861
,County Recorder,Marsha A Tetzloff,Republican,Pulaski,4662
,County Recorder,Mary E Smith,Republican,Brown,6684
,County Recorder,Monica L Hansen,Republican,Ripley,12514
,County Recorder,NANCY COX,Republican,Montgomery,13889
,County Recorder,Patricia (Patty) Perry,Republican,Warrick,25020
,County Recorder,Paul Wilson,Republican,Miami,11056
,County Recorder,Rina E Stuck,Republican,Wells,11583
,County Recorder,Rosetta Newton,Republican,Daviess,9813
